what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1355705519181
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1355705519631
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1355705530288
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1355705540883
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1355705564270
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.selectAll",1355705569804
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1355705570071
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1355705571071
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1355705606575
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1355705608384
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1355705610238
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1355705611163
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1355705611559
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.rename",1355705611657
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1355705612449
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1355705621628
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1355705622256
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1355705625274
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1355705658229
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1355705659396
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1355705666251
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1355705668045
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1355705671029
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1355705671988
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1355705691403
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1355705695243
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1355705698739
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1355705701109
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1355705727316
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1355705728151
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1355706031556
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1355706033921
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1355706055317
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1355706055351
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1355706056330
closed,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1355706056630
stopped,bundle,org.eclipse.jst.ws.axis.creation.ui,1.0.700.v201104070312,"org.eclipse.jst.ws.axis.creation.ui",1355706057344
stopped,bundle,org.eclipse.jst.ws.axis.consumption.ui,1.0.505.v201004211805,"org.eclipse.jst.ws.axis.consumption.ui",1355706057347
stopped,bundle,org.eclipse.jst.ws.axis.consumption.core,1.0.407.v201104071820,"org.eclipse.jst.ws.axis.consumption.core",1355706057347
stopped,bundle,org.eclipse.jst.ws.axis2.creation.ui,1.0.104.v201004211805,"org.eclipse.jst.ws.axis2.creation.ui",1355706057348
stopped,bundle,org.eclipse.jst.ws.axis2.consumption.ui,1.0.103.v201004211805,"org.eclipse.jst.ws.axis2.consumption.ui",1355706057349
stopped,bundle,org.eclipse.jst.ws.axis2.creation.core,1.0.106.v201004211805,"org.eclipse.jst.ws.axis2.creation.core",1355706057349
stopped,bundle,org.eclipse.jst.ws.axis2.consumption.core,1.0.105.v201004211805,"org.eclipse.jst.ws.axis2.consumption.core",1355706057350
stopped,bundle,org.eclipse.jst.ws.axis2.ui,1.0.303.v201003110431,"org.eclipse.jst.ws.axis2.ui",1355706057350
stopped,bundle,org.eclipse.jst.ws.axis2.core,1.0.204.v201004211805,"org.eclipse.jst.ws.axis2.core",1355706057351
stopped,bundle,org.eclipse.jst.ws.cxf.creation.ui,1.0.100.v201104022153,"org.eclipse.jst.ws.cxf.creation.ui",1355706057352
stopped,bundle,org.eclipse.jst.ws.creation.ui,1.0.609.v201103082016,"org.eclipse.jst.ws.creation.ui",1355706057352
stopped,bundle,org.eclipse.jst.ws.cxf.consumption.ui,1.0.0.v201003222311,"org.eclipse.jst.ws.cxf.consumption.ui",1355706057353
stopped,bundle,org.eclipse.jst.ws.consumption.ui,1.1.401.v201108240414,"org.eclipse.jst.ws.consumption.ui",1355706057354
stopped,bundle,org.eclipse.jst.ws.consumption,1.0.601.v201108230319,"org.eclipse.jst.ws.consumption",1355706057355
stopped,bundle,org.eclipse.jst.ws.cxf.consumption.core,1.0.0.v201003222311,"org.eclipse.jst.ws.cxf.consumption.core",1355706057355
